title,university,date,authors,journal,citations,theme,topic_id,topic_probability
Federated learning enables big data for rare cancer boundary detection,Flinders University,2022-12-05,Sarthak Pati; Ujjwal Baid; Brandon Edwards; Micah Sheller; Shih‐Han Wang,Nature Communications,226,AI_Machine_Learning,1,0.599835385502421
Brain States and Transitions: Insights from Computational Neuroscience,Monash University,2020-09-01,Morten L. Kringelbach; Gustavo Deco,Cell Reports,225,AI_Machine_Learning,1,0.38272795296393974
GMFlow: Learning Optical Flow via Global Matching,Monash University,2022-06-01,Haofei Xu; Jing Zhang; Jianfei Cai; Hamid Rezatofighi; Dacheng Tao,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),224,AI_Machine_Learning,1,0.8988896849821716
"Development and Reporting of Prediction Models: Guidance for Authors From Editors of Respiratory, Sleep, and Critical Care Journals",Monash University,2020-03-06,Daniel E. Leisman; Michael O. Harhay; David J. Lederer; Michael J. Abramson; Alex A. Adjei,Critical Care Medicine,223,AI_Machine_Learning,11,0.2279697948681229
The Lancet Series call to action to reduce low value care for low back pain: an update,Monash University,2020-08-15,Rachelle Buchbinder; Martin Underwood; Jan Hartvigsen; Christopher G. Maher,Pain,222,AI_Machine_Learning,11,0.24025077651934149
Virtual and Augmented Reality Enhancements to Medical and Science Student Physiology and Anatomy Test Performance: A Systematic Review and Meta‐Analysis,Bond University,2020-12-31,Christian Moro; James Birt; Zane Štromberga; Charlotte Phelps; Justin Clark,Anatomical Sciences Education,222,AI_Machine_Learning,-1,0.08767508660408009
Two-Layer Federated Learning With Heterogeneous Model Aggregation for 6G Supported Internet of Vehicles,University of Auckland,2021-05-06,Xiaokang Zhou; Wei Liang; Jinhua She; Zheng Yan; Kevin I‐Kai Wang,IEEE Transactions on Vehicular Technology,222,AI_Machine_Learning,1,1.0
Hierarchical Conditional Relation Networks for Video Question Answering,Deakin University,2020-06-01,Thao Minh Le; Vuong Le; Svetha Venkatesh; Truyen Tran,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),221,AI_Machine_Learning,1,0.6872942201562614
"Cancer Incidence, Mortality, Years of Life Lost, Years Lived With Disability, and Disability-Adjusted Life Years for 29 Cancer Groups From 2010 to 2019",Auckland University of Technology,2021-12-30,Jonathan Kocarnik; Kelly Compton; Frances Dean; Weijia Fu; Brian Gaw,JAMA Oncology,1527,Defense_Security,12,1.0
"Assessing the age specificity of infection fatality rates for COVID-19: systematic review, meta-analysis, and public policy implications",University of Wollongong,2020-12-01,Andrew Levin; William P. Hanage; Nana Owusu‐Boaitey; Kensington Cochran; Seamus P. Walsh,European Journal of Epidemiology,832,Defense_Security,10,0.46104213551130674
The prevalence of mental illness in refugees and asylum seekers: A systematic review and meta-analysis,Monash University,2020-09-21,Rebecca Blackmore; Jacqueline Boyle; Mina Fazel; Sanjeeva Ranasinha; Kylie M. Gray,PLoS Medicine,702,Defense_Security,10,1.0
"Global, Regional and Country-Specific Burden of Ischaemic Stroke, Intracerebral Haemorrhage and Subarachnoid Haemorrhage: A Systematic Analysis of the Global Burden of Disease Study 2017",Auckland University of Technology,2020-01-01,Rita Krishnamurthi; Takayoshi Ikeda; Valery L. Feigin,Neuroepidemiology,640,Defense_Security,12,1.0
Projecting the continental accumulation of alien species through to 2050,Lincoln University,2020-10-01,Hanno Seebens; Sven Bacher; Tim M. Blackburn; César Capinha; Wayne Dawson,Global Change Biology,609,Defense_Security,6,1.0
Genetic diversity targets and indicators in the CBD post-2020 Global Biodiversity Framework must be improved,Flinders University,2020-07-02,Sean Hoban; Michael W. Bruford; Josephine D’Urban Jackson; Margarida Lopes-Fernandes; Myriam Heuertz,Biological Conservation,505,Defense_Security,6,1.0
Online Health Information Seeking Behavior: A Systematic Review,Massey University,2021-12-16,Xiaoyun Jia; Yan Pang; Liangni Sally Liu,Healthcare,344,Defense_Security,-1,0.16481706425700401
Mental health in the UK during the COVID-19 pandemic: cross-sectional analyses from a community cohort study,University of Auckland,2020-09-01,Ru Jia; Kieran Ayling; Trudie Chalder; Adam Massey; Elizabeth Broadbent,BMJ Open,322,Defense_Security,10,1.0
Estimated global cancer incidence in the oldest adults in 2018 and projections to 2050,University of Otago,2020-07-24,Sophie Pilleron; Enrique Soto‐Pérez‐de‐Celis; Jérôme Vignat; Jacques Ferlay; Isabelle Soerjomataram,International Journal of Cancer,308,Defense_Security,12,1.0
PHANGS–ALMA: Arcsecond CO(2–1) Imaging of Nearby Star-forming Galaxies,Australian National University,2021-11-24,Adam K. Leroy; E. Schinnerer; Annie Hughes; Erik Rosolowsky; J. Pety,The Astrophysical Journal Supplement Series,281,Defense_Security,2,1.0
Extraordinary human energy consumption and resultant geological impacts beginning around 1950 CE initiated the proposed Anthropocene Epoch,Australian National University,2020-10-16,James P. M. Syvitski; Colin N. Waters; John W. Day; John D. Milliman; Colin Summerhayes,Communications Earth & Environment,276,Defense_Security,-1,0.08555150536341678
Scientists’ warning – The outstanding biodiversity of islands is in peril,Victoria University of Wellington,2021-09-28,José María Fernández‐Palacios; Holger Kreft; Severin D. H. Irl; Sietze J. Norder; Claudine Ah‐Peng,Global Ecology and Conservation,271,Defense_Security,6,1.0
"Racial disparities in COVID-19 pandemic cases, hospitalisations, and deaths: A systematic review and meta-analysis",Central Queensland University,2021-06-26,William Mude; Victor M. Oguoma; Tafadzwa Nyanhanda; Lillian Mwanri; Carolyne Njue,Journal of Global Health,245,Defense_Security,10,0.27880285198443944
"Assessing preventive health behaviors from COVID-19: a cross sectional study with health belief model in Golestan Province, Northern of Iran",University of Tasmania,2020-11-17,Hossein Shahnazi; Maryam Ahmadi-Livani; Bagher Pahlavanzadeh; Abdolhalim Rajabi; Mohammad Shoaib Hamrah,Infectious Diseases of Poverty,240,Defense_Security,10,1.0
"Plant growth-promoting microorganisms as biocontrol agents of plant diseases: Mechanisms, challenges and future perspectives",Murdoch University,2022-10-06,Mohamed T. El‐Saadony; Ahmed M. Saad; Soliman M. Soliman; Heba M. Salem; Alshaymaa I. Ahmed,Frontiers in Plant Science,237,Defense_Security,-1,0.0841406224395789
Short term association between ozone and mortality: global two stage time series study in 406 locations in 20 countries,Monash University,2020-02-10,Ana M. Vicedo‐Cabrera; Francesco Sera; Cong Liu; Ben Armstrong; Ai Milojevic,BMJ,222,Defense_Security,9,0.39179626573386545
"The impacts of knowledge, risk perception, emotion and information on citizens’ protective behaviors during the outbreak of COVID-19: a cross-sectional study in China",La Trobe University,2020-11-23,Liangwen Ning; Jinyu Niu; Xuejing Bi; Chao Yang; Ze Liu,BMC Public Health,221,Defense_Security,10,0.5937079497154253
Antenatal depression and its association with adverse birth outcomes in low and middle-income countries: A systematic review and meta-analysis,Flinders University,2020-01-10,Abel Fekadu Dadi; Emma R. Miller; Lillian Mwanri,PLoS ONE,205,Defense_Security,10,1.0
A global outlook to the interruption of education due to COVID-19 pandemic: Navigating in a time of uncertainty and crisis,Deakin University,2020-06-06,Aras Bozkurt; Insung Jung; Junhong Xiao; Viviane Vladimirschi; Robert Schuwer,,203,Defense_Security,4,1.0
"Short term associations of ambient nitrogen dioxide with daily total, cardiovascular, and respiratory mortality: multilocation analysis in 398 cities",Monash University,2021-03-24,Xia Meng; Cong Liu; Renjie Chen; Francesco Sera; Ana María Vicedo-Cabrera,BMJ,203,Defense_Security,9,0.3804143566397356
The origin of spin in binary black holes,Monash University,2020-01-24,Simone S. Bavera; Tassos Fragos; Ying Qin; Emmanouil Zapartas; Coenraad J. Neijssel,Astronomy and Astrophysics,201,Defense_Security,2,1.0
Intelligent robots for fruit harvesting: recent developments and future challenges,Monash University,2022-06-02,Hongyu Zhou; Xing Wang; Wesley Au; Hanwen Kang; Chao Chen,Precision Agriculture,200,Defense_Security,1,1.0
"“<i>We aren't your reincarnation!</i>” workplace motivation across X, Y and Z generations",Monash University,2020-06-17,Ali B. Mahmoud; Leonora Fuxman; Iris Mohr; William D. Reisel; Nicholas Grigoriou,International Journal of Manpower,197,Defense_Security,-1,0.2486799259943873
"Severe COVID-19 outcomes after full vaccination of primary schedule and initial boosters: pooled analysis of national prospective cohort studies of 30 million individuals in England, Northern Ireland, Scotland, and Wales",Victoria University of Wellington,2022-10-01,Utkarsh Agrawal; Stuart Bedston; Colin McCowan; Jason Oke; Lynsey Patterson,The Lancet,190,Defense_Security,10,0.44082707406298743
The global prevalence and trend of human intestinal carriage of ESBL-producing <i>Escherichia coli</i> in the community,University of Tasmania,2020-09-09,Yihienew Mequanint Bezabih; Wilber Sabiiti; Endalkachew Alamneh; Alamneh Bezabih; Gregory M. Peterson,Journal of Antimicrobial Chemotherapy,188,Defense_Security,10,0.4303115128245177
"Biology, invasion and management of the agricultural invader: Fall armyworm, Spodoptera frugiperda (Lepidoptera: Noctuidae)",Murdoch University,2021-02-16,Jing Wan; Cong Huang; Changyou Li; Hongxu Zhou; Yonglin Ren,Journal of Integrative Agriculture,182,Defense_Security,6,0.7685364769521379
Population vs Individual Prediction of Poor Health From Results of Adverse Childhood Experiences Screening,University of Otago,2021-01-26,Jessie R. Baldwin; Avshalom Caspi; Alan J. Meehan; Antony Ambler; Louise Arseneault,JAMA Pediatrics,178,Defense_Security,10,1.0
Four priority areas to advance invasion science in the face of rapid environmental change,Lincoln University,2020-12-07,Anthony Ricciardi; Josephine C. Iacarella; David C. Aldridge; Tim M. Blackburn; James T. Carlton,Environmental Reviews,177,Defense_Security,6,1.0
Energy-Aware Marine Predators Algorithm for Task Scheduling in IoT-Based Fog Computing Applications,Macquarie University,2020-06-11,Mohamed Abdel‐Basset; Reda Mohamed; Mohamed Elhoseny; Ali Kashif Bashir; Alireza Jolfaei,IEEE Transactions on Industrial Informatics,175,Defense_Security,1,0.4851304025863357
Effects of undernutrition on mortality and morbidity among adults living with HIV in sub-Saharan Africa: a systematic review and meta-analysis,University of Technology Sydney,2021-01-04,Animut Alebel; Daniel Demant; Pammla Petrucka; David Sibbritt,BMC Infectious Diseases,173,Defense_Security,10,0.2936828598608014
Forced Migration and Human Capital: Evidence from Post-WWII Population Transfers,Monash University,2020-04-28,Sascha O. Becker; Irena Grosfeld; Pauline Grosjean; Nico Voigtländer; Ekaterina Zhuravskaya,American Economic Review,166,Defense_Security,8,1.0
"Internet Use, Sustainable Agricultural Practices and Rural Incomes: Evidence from China",Lincoln University,2020-07-22,Wanglin Ma; Xiaobing Wang,Australian Journal of Agricultural and Resource Economics,165,Defense_Security,8,1.0
Prevalence of Internet Addiction and Gaming Disorders in Southeast Asia: A Meta-Analysis,University of Waikato,2020-04-09,Doris Xin Yi Chia; Charis Wei Ling Ng; Gomathinayagam Kandasami; Mavis Y. L. Seow; Carol C. Choo,International Journal of Environmental Research and Public Health,159,Defense_Security,10,0.7731817736236173
Fear of COVID‐19 Scale (FCV‐19S) across countries: Measurement invariance issues,University of Otago,2021-03-21,Chung‐Ying Lin; Wen‐Li Hou; Mohammed A. Mamun; José Aparecido Da Silva; Yunier Broche‐Pérez,Nursing Open,154,Defense_Security,10,1.0
"The impact of COVID-19 lockdown on snacking habits, fast-food and alcohol consumption: A systematic review of the evidence",Queensland University of Technology,2021-04-17,Dimitra Rafailia Bakaloudi; Dhanushya T. Jeyakumar; Ranil Jayawardena; Michail Chourdakis,Clinical Nutrition,154,Defense_Security,8,0.7421874918091694
Ultraprocessed food consumption and dietary nutrient profiles associated with obesity: A multicountry study of children and adolescents,Deakin University,2021-12-09,Daniela Neri; Eurídice Martínez Steele; Neha Khandpur; Gustavo Cediel; María Elisa Zapata,Obesity Reviews,154,Defense_Security,8,1.0
Overfishing and habitat loss drive range contraction of iconic marine fishes to near extinction,Charles Darwin University,2021-02-10,Helen F. Yan; Peter M. Kyne; Rima W. Jabado; Ruth H. Leeney; Lindsay N. K. Davidson,Science Advances,151,Defense_Security,6,1.0
Blood lead levels in low-income and middle-income countries: a systematic review,Macquarie University,2021-03-01,Bret Ericson; Howard Hu; Emily Nash; Gregory L. Ferraro; Julia Sinitsky,The Lancet Planetary Health,139,Defense_Security,-1,0.18648953214547376
Automated Deep CNN-LSTM Architecture Design for Solar Irradiance Forecasting,Deakin University,2021-07-12,Seyed Mohammad Jafar Jalali; Sajad Ahmadian; Abdollah Kavousi‐Fard; Abbas Khosravi; Saeid Nahavandi,IEEE Transactions on Systems Man and Cybernetics Systems,137,Defense_Security,0,1.0
Why food insecurity persists in sub-Saharan Africa: A review of existing evidence,University of South Australia,2022-02-03,Vibeke Bjornlund; Henning Bjørnlund; André van Rooyen,Food Security,135,Defense_Security,8,0.5871488243639036
Large Interferometer For Exoplanets (LIFE),Australian National University,2022-04-12,Sascha P. Quanz; Maurice Ottiger; E. Fontanet; Jens Kammerer; Franziska Menti,Astronomy and Astrophysics,132,Defense_Security,2,1.0
Marine mammal conservation: over the horizon,Deakin University,2021-01-28,Sarah E. Nelms; Joanna Alfaro‐Shigueto; JPY Arnould; Isabel Cristina Ávila; Susan Bengtson Nash,Endangered Species Research,125,Defense_Security,6,1.0
Factors affecting success of conservation translocations of terrestrial vertebrates: A global systematic review,University of Tasmania,2021-05-12,Shane D. Morris; Barry W. Brook; Katherine E. Moseby; Christopher N. Johnson,Global Ecology and Conservation,125,Defense_Security,6,1.0
Association of Healthful Plant-based Diet Adherence With Risk of Mortality and Major Chronic Diseases Among Adults in the UK,Edith Cowan University,2023-03-28,Alysha S. Thompson; Anna Tresserra‐Rimbau; Nena Karavasiloglou; Amy Jennings; Marie M. Cantwell,JAMA Network Open,125,Defense_Security,12,1.0
Assessment of COVID-19 Information Overload Among the General Public,University of Tasmania,2021-01-19,Mustapha Mohammed; Abubakar Sha’aban; Abubakar Ibrahim Jatau; Ismaeel Yunusa; Abubakar Isa,Journal of Racial and Ethnic Health Disparities,123,Defense_Security,10,0.5439839354406742
Prevalence of first adolescent pregnancy and its associated factors in sub-Saharan Africa: A multi-country analysis,University of Technology Sydney,2021-02-04,Bright Opoku Ahinkorah; Melissa Kang; Lin Perry; Fiona Brooks; Andrew Hayen,PLoS ONE,120,Defense_Security,10,0.3676980886550841
Epidemiology of injuries in male and female youth football players: A systematic review and meta-analysis,Auckland University of Technology,2021-10-25,Francisco Javier Robles-Palazón; Alejandro López‐Valenciano; Mark De Ste Croix; Jon L. Oliver; José Alberto García,Journal of sport and health science/Journal of Sport and Health Science,116,Defense_Security,12,1.0
Effect of lockdown on mental health in Australia: evidence from a natural experiment analysing a longitudinal probability sample survey,Australian National University,2022-04-21,Peter Butterworth; Stefanie Schurer; Trong‐Anh Trinh; Esperanza Vera‐Toscano; Mark Wooden,The Lancet Public Health,112,Defense_Security,10,1.0
A Review on Constraint Handling Techniques for Population-based Algorithms: from single-objective to multi-objective optimization,University of Technology Sydney,2022-12-09,Iman Rahimi; Amir H. Gandomi; Fang Chen; Efrén Mezura‐Montes,Archives of Computational Methods in Engineering,105,Defense_Security,0,0.07836725722348048
Half a century of rising extinction risk of coral reef sharks and rays,James Cook University,2023-01-17,C. Samantha Sherman; Colin A. Simpfendorfer; Nathan Pacoureau; Jay H. Matsushiba; Helen F. Yan,Nature Communications,103,Defense_Security,6,1.0
Determinants of life expectancy in most polluted countries: Exploring the effect of environmental degradation,University of Southern Queensland,2022-01-21,Mohammad Mafizur Rahman; Rezwanul Hasan Rana; Rasheda Khanam,PLoS ONE,100,Defense_Security,9,1.0
"European fitness landscape for children and adolescents: updated reference values, fitness maps and country rankings based on nearly 8 million test results from 34 countries gathered by the FitBack network",University of South Australia,2023-01-09,Francisco B. Ortega; Bojan Leskošek; Rok Blagus; José J. Gil‐Cosano; Jarek Mäestu,British Journal of Sports Medicine,99,Defense_Security,12,1.0
COVID-19 vaccine hesitancy among pregnant women: a systematic review and meta-analysis,Monash University,2022-08-01,Oashe Bhattacharya; Bodrun Naher Siddiquea; Aishwarya Shetty; Afroza Akhter; Baki Billah,BMJ Open,95,Defense_Security,10,0.3573511790001777
A New Census of the 0.2 &lt; z &lt; 3.0 Universe. II. The Star-forming Sequence,Australian National University,2022-09-01,Joel Leja; Joshua S. Speagle; Yuan-Sen Ting; Benjamin D. Johnson; Charlie Conroy,The Astrophysical Journal,94,Defense_Security,2,1.0
Successional theories,James Cook University,2023-07-16,Lourens Poorter; Lucy Amissah; Frans Bongers; Iris Hordijk; Jazz Kok,Biological reviews/Biological reviews of the Cambridge Philosophical Society,93,Defense_Security,6,0.21581436827176992
Cardiorespiratory fitness is a strong and consistent predictor of morbidity and mortality among adults: an overview of meta-analyses representing over 20.9 million observations from 199 unique cohort studies,University of Tasmania,2024-04-09,Justin J. Lang; Stéphanie A. Prince; Katherine Merucci; Cristina Cadenas‐Sánchez; Jean‐Philippe Chaput,British Journal of Sports Medicine,89,Defense_Security,12,1.0
"The Theoretical, Practical, and Technological Foundations of the 15-Minute City Model: Proximity and Its Environmental, Social and Economic Benefits for Sustainability",Deakin University,2022-08-20,Zaheer Allam; Simon Elias Bibri; Didier Chabaud; Carlos Moreno,Energies,85,Defense_Security,7,1.0
Grambank reveals the importance of genealogical constraints on linguistic diversity and highlights the impact of language loss,Australian National University,2023-04-19,Hedvig Skirgård; Hannah J. Haynie; Damián E. Blasí; Harald Hammarström; Jeremy Collins,Science Advances,85,Defense_Security,6,0.42767803324416603
Prevalence of intimate partner violence against infertile women in low-income and middle-income countries: a systematic review and meta-analysis,La Trobe University,2022-05-10,Yuanyuan Wang; Yu Fu; Parastou Ghazi; Qin Gao; Tian Tian,The Lancet Global Health,83,Defense_Security,-1,0.32648608298986076
The prevalence of hip osteoarthritis: a systematic review and meta-analysis,University of Technology Sydney,2023-03-29,Zijuan Fan; Lei Yan; Haifeng Liu; Xiaoke Li; Kenan Fan,Arthritis Research & Therapy,82,Defense_Security,12,1.0
Energy Security and Energy Poverty in Emerging Economies: A Step Towards Sustainable Energy Efficiency,University of Tasmania,2022-03-30,Muhammad Nasir; Jun Wen; Abdelmohsen A. Nassani; Mohamed Haffar; Amechi Endurance Igharo,Frontiers in Energy Research,81,Defense_Security,9,1.0
Denser and greener cities: Green interventions to achieve both urban density and nature,Victoria University of Wellington,2023-01-11,Robert I. McDonald; Myla F. J. Aronson; Timothy Beatley; Erin E. Beller; Micaela Bazo,People and Nature,76,Defense_Security,-1,0.1123421688157754
"Locally led adaptation: Promise, pitfalls, and possibilities",Griffith University,2023-06-07,M. Feisal Rahman; Danielle Falzon; Stacy‐ann Robinson; Laura Kuhl; Ross Westoby,AMBIO,71,Defense_Security,9,1.0
A thousand-genome panel retraces the global spread and adaptation of a major fungal crop pathogen,Australian National University,2023-02-24,Alice Feurtey; Cécile Lorrain; Megan C. McDonald; Andrew Milgate; Peter S. Solomon,Nature Communications,64,Defense_Security,6,1.0
Marine turtle regional management units 2.0: an updated framework for conservation and research of wide-ranging megafauna species,Griffith University,2023-04-13,BP Wallace; ZA Posnik; BJ Hurley; AD DiMatteo; AN Bandimere,Endangered Species Research,64,Defense_Security,6,1.0
JWST UNCOVER: Extremely Red and Compact Object at z <sub>phot</sub> ≃ 7.6 Triply Imaged by A2744,Swinburne University of Technology,2023-07-25,Lukas J. Furtak; Adi Zitrin; Adèle Plat; Seiji Fujimoto; Bingjie Wang,The Astrophysical Journal,63,Defense_Security,2,1.0
Velocity pausing particle swarm optimization: a novel variant for global optimization,Torrens University Australia,2023-01-07,Tareq M. Shami; Seyedali Mirjalili; Yasser Al-Eryani; Khadija Daoudi; Saadat Izadi,Neural Computing and Applications,62,Defense_Security,0,0.0764336252114125
Squid Game Optimizer (SGO): a novel metaheuristic algorithm,Monash University,2023-04-01,Mahdi Azizi; Milad Baghalzadeh Shishehgarkhaneh; Mahla Basiri; Robert Moehler,Scientific Reports,56,Defense_Security,0,0.07483966491365464
Prevalence and factors associated with anemia in women of reproductive age across low- and middle-income countries based on national data,La Trobe University,2023-11-20,Adugnaw Zeleke Alem; Ferry Efendi; Lisa McKenna; Eva Belingon Felipe‐Dimog; Dagmawi Chilot,Scientific Reports,55,Defense_Security,-1,0.3174969755744646
"Cannabis legalization and cannabis use, daily cannabis use and cannabis-related problems among adults in Ontario, Canada (2001–2019)",Deakin University,2023-01-06,Sameer Imtiaz; Yeshambel T. Nigatu; Farihah Ali; Laura Douglas; Hayley A. Hamilton,Drug and Alcohol Dependence,54,Defense_Security,10,1.0
Ensemble machine learning-based recommendation system for effective prediction of suitable agricultural crop cultivation,Deakin University,2023-08-10,Mahmudul Hasan; Md. Abu Marjan; Md Palash Uddin; Masud Ibn Afjal; Seifedine Kardy,Frontiers in Plant Science,54,Defense_Security,1,1.0
"Board demographic, structural diversity, and eco‐innovation: International evidence",Edith Cowan University,2023-06-06,Rashid Zaman; Kaveh Asiaei; Muhammad Nadeem; Ihtisham Malik; Muhammad Arif,Corporate Governance An International Review,53,Defense_Security,14,1.0
Burden of Ischemic and Hemorrhagic Stroke Across the US From 1990 to 2019,Auckland University of Technology,2024-03-04,Daniela Renedo; Julián Acosta; Audrey C. Leasure; Richa Sharma; Harlan M. Krumholz,JAMA Neurology,49,Defense_Security,12,1.0
Human dispersal and plant processing in the Pacific 55 000–50 000 years ago,University of Otago,2024-08-01,Dylan Gaffney; Daud Aris Tanudirjo; Erlin Novita Idje Djami; Zubair Mas’ud; Abdul Razak Macap,Antiquity,48,Defense_Security,6,1.0
"Population structure and migration in the Eastern Highlands of Papua New Guinea, a region impacted by the kuru epidemic",Curtin University,2024-03-19,Liam Quinn; Jerome Whitfield; Michael P. Alpers; Tracy Campbell; Holger Hummerich,The American Journal of Human Genetics,39,Defense_Security,6,0.38150308271763916
"Quantifying the Effects of Known Unknowns on Inferred High-redshift Galaxy Properties: Burstiness, IMF, and Nebular Physics",Swinburne University of Technology,2024-02-29,Bingjie Wang; Joel Leja; Hakim Atek; Ivo Labbé; Yijia Li,The Astrophysical Journal,35,Defense_Security,2,1.0
Bellwethers of change: population modelling of North Pacific humpback whales from 2002 through 2021 reveals shift from recovery to climate response,Southern Cross University,2024-02-01,Ted Cheeseman; Jay Barlow; Jo Marie Acebes; Katherina Audley; Lars Bejder,Royal Society Open Science,30,Defense_Security,6,1.0
Frailty increases the long-term risk for fall and fracture-related hospitalizations and all-cause mortality in community-dwelling older women,Torrens University Australia,2024-01-02,Elsa Dent; Jack Dalla Via; Trent Bozanich; Emiel O. Hoogendijk; Abadi Kahsu Gebre,Journal of Bone and Mineral Research,28,Defense_Security,12,1.0
Marine protected areas promote stability of reef fish communities under climate warming,University of Tasmania,2024-02-28,Lisandro Benedetti‐Cecchi; Amanda E. Bates; Giovanni Strona; Fabio Bulleri; Bárbara Horta e Costa,Nature Communications,28,Defense_Security,6,1.0
"Prevalence and risk factors for long COVID among adults in Scotland using electronic health records: a national, retrospective, observational cohort study",Victoria University of Wellington,2024-04-11,Karen Jeffrey; Lana Woolford; Rishma Maini; Siddharth Basetti; Ashleigh Batchelor,EClinicalMedicine,27,Defense_Security,10,0.4753844277211522
Prevalence and Socio-Demographic Predictors of Food Insecurity in Australia during the COVID-19 Pandemic,University of Tasmania,2020-09-02,Katherine Kent; Sandra Murray; Beth Penrose; Srj Auckland; Denis Visentin,Nutrients,148,Defense_Security,8,1.0
"The relationship between problem gambling, excessive gaming, psychological distress and spending on loot boxes in Aotearoa New Zealand, Australia, and the United States—A cross-national survey",University of Tasmania,2020-03-23,Aaron Drummond; James D. Sauer; Christopher J. Ferguson; Lauren C. Hall,PLoS ONE,136,Defense_Security,-1,0.2332536497856033
Food choice in the e-commerce era,University of Waikato,2020-02-22,Ou Wang; Simon Somogyi; Sylvain Charlebois,British Food Journal,127,Defense_Security,13,1.0
The Arithmetic Optimization Algorithm,Torrens University Australia,2021-01-13,Laith Abualigah; Ali Diabat; Seyedali Mirjalili; Mohamed Abd Elaziz; Amir H. Gandomi,Computer Methods in Applied Mechanics and Engineering,2437,Autonomous_Systems,0,0.07601202292554995
How can airborne transmission of COVID-19 indoors be minimised?,Queensland University of Technology,2020-05-27,Lídia Morawska; Julian W. Tang; William P. Bahnfleth; Philomena M. Bluyssen; Atze Boerstra,Environment International,1296,Autonomous_Systems,10,1.0
Review and analysis of current responses to COVID-19 in Indonesia: Period of January to March 2020,Charles Darwin University,2020-04-01,Riyanti Djalante; Jonatan Lassa; Davin H. E. Setiamarga; Aruminingsih Sudjatma; Mochamad Indrawan,Progress in Disaster Science,1210,Autonomous_Systems,10,0.7463584471519501
Impact of COVID-19 pandemic on utilisation of healthcare services: a systematic review,Bond University,2021-03-01,Ray Moynihan; Sharon Sanders; Zoe A Michaleff; Anna Mae Scott; Justin Clark,BMJ Open,1161,Autonomous_Systems,-1,0.2258318823163775
"Ultra‐processed foods and the nutrition transition: Global, regional and national trends, food systems transformations and political economy drivers",Deakin University,2020-08-06,Phillip Baker; Priscila Machado; Thiago M. Santos; Katherine Sievert; Kathryn Backholer,Obesity Reviews,862,Autonomous_Systems,8,1.0
Federated Learning for Smart Healthcare: A Survey,Deakin University,2022-02-03,Dinh C. Nguyen; Quoc‐Viet Pham; Pubudu N. Pathirana; Ming Ding; Aruna Seneviratne,ACM Computing Surveys,473,Autonomous_Systems,1,0.32545736404170994
Social media for rapid knowledge dissemination: early experience from the<scp>COVID</scp>‐19 pandemic,Monash University,2020-03-30,Albert Kam Ming Chan; Christopher P Nickson; Jenny W. Rudolph; Anna Lee; Gavin M. Joynt,Anaesthesia,456,Autonomous_Systems,10,1.0
UK clinical guideline for the prevention and treatment of osteoporosis,Australian Catholic University,2022-04-04,Celia L. Gregson; David Armstrong; Jean Bowden; Cyrus Cooper; John Edwards,Archives of Osteoporosis,453,Autonomous_Systems,12,1.0
The “war over tourism”: challenges to sustainable tourism in the tourism academy after COVID-19,University of South Australia,2020-08-06,Freya Higgins‐Desbiolles,Journal of Sustainable Tourism,399,Autonomous_Systems,-1,0.21648782803290906
"Water Security in a Changing Environment: Concept, Challenges and Solutions",Australian National University,2021-02-14,Binaya Kumar Mishra; Pankaj Kumar; Chitresh Saraswat; Shamik Chakraborty; Arjun Gautam,Water,380,Autonomous_Systems,9,1.0
The Internet of Things: Impact and Implications for Health Care Delivery,Griffith University,2020-09-16,Jaimon T. Kelly; Katrina L. Campbell; Enying Gong; Paul Scuffham,Journal of Medical Internet Research,377,Autonomous_Systems,1,0.25918186540963856
Role of organic farming for achieving sustainability in agriculture,Central Queensland University,2023-03-28,Ashoka Gamage; Ruchira Gangahagedara; Jeewan Gamage; Nepali Jayasinghe; Nathasha Kodikara,Farming System,374,Autonomous_Systems,-1,0.06364827942008433
"A systematic literature review of artificial intelligence in the healthcare sector: Benefits, challenges, methodologies, and functionalities",University of Southern Queensland,2023-01-01,Omar Ali; Wiem Abdelbaki; Anup Shrestha; Ersin Elbaşi; Mohammad Abdallah Ali Alryalat,Journal of Innovation & Knowledge,354,Autonomous_Systems,1,0.2257514710304022
The Blue Economy and the United Nations’ sustainable development goals: Challenges and opportunities,Griffith University,2020-01-31,Ki‐Hoon Lee; Junsung Noh; Jong Seong Khim,Environment International,337,Autonomous_Systems,9,0.3992355256420011
Global 1 km × 1 km gridded revised real gross domestic product and electricity consumption during 1992–2019 based on calibrated nighttime light data,Curtin University,2022-05-12,Jiandong Chen; Ming Gao; Shulei Cheng; Wenxuan Hou; Malin Song,Scientific Data,333,Autonomous_Systems,9,1.0
Effects of Internet-Based Cognitive Behavioral Therapy in Routine Care for Adults in Treatment for Depression and Anxiety: Systematic Review and Meta-Analysis,Macquarie University,2020-08-31,Anne Etzelmueller; Christiaan Vis; Eirini Karyotaki; Harald Baumeister; Nickolai Titov,Journal of Medical Internet Research,311,Autonomous_Systems,10,0.681730526711359
The worldwide impact of telemedicine during COVID-19: current evidence and recommendations for the future,Flinders University,2022-01-01,Stefano Omboni; Raj Padwal; Tourkiah Alessa; Béla Benczúr; Beverly B. Green,Connected Health,307,Autonomous_Systems,-1,0.16936000296558643
