title,university,date,authors,journal,citations,theme
Online Health Information Seeking Behavior: A Systematic Review,Massey University,2021-12-16,Xiaoyun Jia; Yan Pang; Liangni Sally Liu,Healthcare,344,Defense_Security
Mental health in the UK during the COVID-19 pandemic: cross-sectional analyses from a community cohort study,University of Auckland,2020-09-01,Ru Jia; Kieran Ayling; Trudie Chalder; Adam Massey; Elizabeth Broadbent,BMJ Open,322,Defense_Security
Estimated global cancer incidence in the oldest adults in 2018 and projections to 2050,University of Otago,2020-07-24,Sophie Pilleron; Enrique Soto‐Pérez‐de‐Celis; Jérôme Vignat; Jacques Ferlay; Isabelle Soerjomataram,International Journal of Cancer,308,Defense_Security
PHANGS–ALMA: Arcsecond CO(2–1) Imaging of Nearby Star-forming Galaxies,Australian National University,2021-11-24,Adam K. Leroy; E. Schinnerer; Annie Hughes; Erik Rosolowsky; J. Pety,The Astrophysical Journal Supplement Series,281,Defense_Security
Extraordinary human energy consumption and resultant geological impacts beginning around 1950 CE initiated the proposed Anthropocene Epoch,Australian National University,2020-10-16,James P. M. Syvitski; Colin N. Waters; John W. Day; John D. Milliman; Colin Summerhayes,Communications Earth & Environment,276,Defense_Security
Scientists’ warning – The outstanding biodiversity of islands is in peril,Victoria University of Wellington,2021-09-28,José María Fernández‐Palacios; Holger Kreft; Severin D. H. Irl; Sietze J. Norder; Claudine Ah‐Peng,Global Ecology and Conservation,271,Defense_Security
"Racial disparities in COVID-19 pandemic cases, hospitalisations, and deaths: A systematic review and meta-analysis",Central Queensland University,2021-06-26,William Mude; Victor M. Oguoma; Tafadzwa Nyanhanda; Lillian Mwanri; Carolyne Njue,Journal of Global Health,245,Defense_Security
"Assessing preventive health behaviors from COVID-19: a cross sectional study with health belief model in Golestan Province, Northern of Iran",University of Tasmania,2020-11-17,Hossein Shahnazi; Maryam Ahmadi-Livani; Bagher Pahlavanzadeh; Abdolhalim Rajabi; Mohammad Shoaib Hamrah,Infectious Diseases of Poverty,240,Defense_Security
"Plant growth-promoting microorganisms as biocontrol agents of plant diseases: Mechanisms, challenges and future perspectives",Murdoch University,2022-10-06,Mohamed T. El‐Saadony; Ahmed M. Saad; Soliman M. Soliman; Heba M. Salem; Alshaymaa I. Ahmed,Frontiers in Plant Science,237,Defense_Security
Short term association between ozone and mortality: global two stage time series study in 406 locations in 20 countries,Monash University,2020-02-10,Ana M. Vicedo‐Cabrera; Francesco Sera; Cong Liu; Ben Armstrong; Ai Milojevic,BMJ,222,Defense_Security
"The impacts of knowledge, risk perception, emotion and information on citizens’ protective behaviors during the outbreak of COVID-19: a cross-sectional study in China",La Trobe University,2020-11-23,Liangwen Ning; Jinyu Niu; Xuejing Bi; Chao Yang; Ze Liu,BMC Public Health,221,Defense_Security
Antenatal depression and its association with adverse birth outcomes in low and middle-income countries: A systematic review and meta-analysis,Flinders University,2020-01-10,Abel Fekadu Dadi; Emma R. Miller; Lillian Mwanri,PLoS ONE,205,Defense_Security
A global outlook to the interruption of education due to COVID-19 pandemic: Navigating in a time of uncertainty and crisis,Deakin University,2020-06-06,Aras Bozkurt; Insung Jung; Junhong Xiao; Viviane Vladimirschi; Robert Schuwer,,203,Defense_Security
"Short term associations of ambient nitrogen dioxide with daily total, cardiovascular, and respiratory mortality: multilocation analysis in 398 cities",Monash University,2021-03-24,Xia Meng; Cong Liu; Renjie Chen; Francesco Sera; Ana María Vicedo-Cabrera,BMJ,203,Defense_Security
The origin of spin in binary black holes,Monash University,2020-01-24,Simone S. Bavera; Tassos Fragos; Ying Qin; Emmanouil Zapartas; Coenraad J. Neijssel,Astronomy and Astrophysics,201,Defense_Security
Intelligent robots for fruit harvesting: recent developments and future challenges,Monash University,2022-06-02,Hongyu Zhou; Xing Wang; Wesley Au; Hanwen Kang; Chao Chen,Precision Agriculture,200,Defense_Security
"“<i>We aren't your reincarnation!</i>” workplace motivation across X, Y and Z generations",Monash University,2020-06-17,Ali B. Mahmoud; Leonora Fuxman; Iris Mohr; William D. Reisel; Nicholas Grigoriou,International Journal of Manpower,197,Defense_Security
"Severe COVID-19 outcomes after full vaccination of primary schedule and initial boosters: pooled analysis of national prospective cohort studies of 30 million individuals in England, Northern Ireland, Scotland, and Wales",Victoria University of Wellington,2022-10-01,Utkarsh Agrawal; Stuart Bedston; Colin McCowan; Jason Oke; Lynsey Patterson,The Lancet,190,Defense_Security
The global prevalence and trend of human intestinal carriage of ESBL-producing <i>Escherichia coli</i> in the community,University of Tasmania,2020-09-09,Yihienew Mequanint Bezabih; Wilber Sabiiti; Endalkachew Alamneh; Alamneh Bezabih; Gregory M. Peterson,Journal of Antimicrobial Chemotherapy,188,Defense_Security
"Biology, invasion and management of the agricultural invader: Fall armyworm, Spodoptera frugiperda (Lepidoptera: Noctuidae)",Murdoch University,2021-02-16,Jing Wan; Cong Huang; Changyou Li; Hongxu Zhou; Yonglin Ren,Journal of Integrative Agriculture,182,Defense_Security
Population vs Individual Prediction of Poor Health From Results of Adverse Childhood Experiences Screening,University of Otago,2021-01-26,Jessie R. Baldwin; Avshalom Caspi; Alan J. Meehan; Antony Ambler; Louise Arseneault,JAMA Pediatrics,178,Defense_Security
Four priority areas to advance invasion science in the face of rapid environmental change,Lincoln University,2020-12-07,Anthony Ricciardi; Josephine C. Iacarella; David C. Aldridge; Tim M. Blackburn; James T. Carlton,Environmental Reviews,177,Defense_Security
Energy-Aware Marine Predators Algorithm for Task Scheduling in IoT-Based Fog Computing Applications,Macquarie University,2020-06-11,Mohamed Abdel‐Basset; Reda Mohamed; Mohamed Elhoseny; Ali Kashif Bashir; Alireza Jolfaei,IEEE Transactions on Industrial Informatics,175,Defense_Security
Effects of undernutrition on mortality and morbidity among adults living with HIV in sub-Saharan Africa: a systematic review and meta-analysis,University of Technology Sydney,2021-01-04,Animut Alebel; Daniel Demant; Pammla Petrucka; David Sibbritt,BMC Infectious Diseases,173,Defense_Security
Forced Migration and Human Capital: Evidence from Post-WWII Population Transfers,Monash University,2020-04-28,Sascha O. Becker; Irena Grosfeld; Pauline Grosjean; Nico Voigtländer; Ekaterina Zhuravskaya,American Economic Review,166,Defense_Security
"Internet Use, Sustainable Agricultural Practices and Rural Incomes: Evidence from China",Lincoln University,2020-07-22,Wanglin Ma; Xiaobing Wang,Australian Journal of Agricultural and Resource Economics,165,Defense_Security
Prevalence of Internet Addiction and Gaming Disorders in Southeast Asia: A Meta-Analysis,University of Waikato,2020-04-09,Doris Xin Yi Chia; Charis Wei Ling Ng; Gomathinayagam Kandasami; Mavis Y. L. Seow; Carol C. Choo,International Journal of Environmental Research and Public Health,159,Defense_Security
Fear of COVID‐19 Scale (FCV‐19S) across countries: Measurement invariance issues,University of Otago,2021-03-21,Chung‐Ying Lin; Wen‐Li Hou; Mohammed A. Mamun; José Aparecido Da Silva; Yunier Broche‐Pérez,Nursing Open,154,Defense_Security
"The impact of COVID-19 lockdown on snacking habits, fast-food and alcohol consumption: A systematic review of the evidence",Queensland University of Technology,2021-04-17,Dimitra Rafailia Bakaloudi; Dhanushya T. Jeyakumar; Ranil Jayawardena; Michail Chourdakis,Clinical Nutrition,154,Defense_Security
Ultraprocessed food consumption and dietary nutrient profiles associated with obesity: A multicountry study of children and adolescents,Deakin University,2021-12-09,Daniela Neri; Eurídice Martínez Steele; Neha Khandpur; Gustavo Cediel; María Elisa Zapata,Obesity Reviews,154,Defense_Security
Overfishing and habitat loss drive range contraction of iconic marine fishes to near extinction,Charles Darwin University,2021-02-10,Helen F. Yan; Peter M. Kyne; Rima W. Jabado; Ruth H. Leeney; Lindsay N. K. Davidson,Science Advances,151,Defense_Security
Blood lead levels in low-income and middle-income countries: a systematic review,Macquarie University,2021-03-01,Bret Ericson; Howard Hu; Emily Nash; Gregory L. Ferraro; Julia Sinitsky,The Lancet Planetary Health,139,Defense_Security
Automated Deep CNN-LSTM Architecture Design for Solar Irradiance Forecasting,Deakin University,2021-07-12,Seyed Mohammad Jafar Jalali; Sajad Ahmadian; Abdollah Kavousi‐Fard; Abbas Khosravi; Saeid Nahavandi,IEEE Transactions on Systems Man and Cybernetics Systems,137,Defense_Security
Why food insecurity persists in sub-Saharan Africa: A review of existing evidence,University of South Australia,2022-02-03,Vibeke Bjornlund; Henning Bjørnlund; André van Rooyen,Food Security,135,Defense_Security
Large Interferometer For Exoplanets (LIFE),Australian National University,2022-04-12,Sascha P. Quanz; Maurice Ottiger; E. Fontanet; Jens Kammerer; Franziska Menti,Astronomy and Astrophysics,132,Defense_Security
Marine mammal conservation: over the horizon,Deakin University,2021-01-28,Sarah E. Nelms; Joanna Alfaro‐Shigueto; JPY Arnould; Isabel Cristina Ávila; Susan Bengtson Nash,Endangered Species Research,125,Defense_Security
Factors affecting success of conservation translocations of terrestrial vertebrates: A global systematic review,University of Tasmania,2021-05-12,Shane D. Morris; Barry W. Brook; Katherine E. Moseby; Christopher N. Johnson,Global Ecology and Conservation,125,Defense_Security
Association of Healthful Plant-based Diet Adherence With Risk of Mortality and Major Chronic Diseases Among Adults in the UK,Edith Cowan University,2023-03-28,Alysha S. Thompson; Anna Tresserra‐Rimbau; Nena Karavasiloglou; Amy Jennings; Marie M. Cantwell,JAMA Network Open,125,Defense_Security
Assessment of COVID-19 Information Overload Among the General Public,University of Tasmania,2021-01-19,Mustapha Mohammed; Abubakar Sha’aban; Abubakar Ibrahim Jatau; Ismaeel Yunusa; Abubakar Isa,Journal of Racial and Ethnic Health Disparities,123,Defense_Security
Prevalence of first adolescent pregnancy and its associated factors in sub-Saharan Africa: A multi-country analysis,University of Technology Sydney,2021-02-04,Bright Opoku Ahinkorah; Melissa Kang; Lin Perry; Fiona Brooks; Andrew Hayen,PLoS ONE,120,Defense_Security
Epidemiology of injuries in male and female youth football players: A systematic review and meta-analysis,Auckland University of Technology,2021-10-25,Francisco Javier Robles-Palazón; Alejandro López‐Valenciano; Mark De Ste Croix; Jon L. Oliver; José Alberto García,Journal of sport and health science/Journal of Sport and Health Science,116,Defense_Security
Effect of lockdown on mental health in Australia: evidence from a natural experiment analysing a longitudinal probability sample survey,Australian National University,2022-04-21,Peter Butterworth; Stefanie Schurer; Trong‐Anh Trinh; Esperanza Vera‐Toscano; Mark Wooden,The Lancet Public Health,112,Defense_Security
A Review on Constraint Handling Techniques for Population-based Algorithms: from single-objective to multi-objective optimization,University of Technology Sydney,2022-12-09,Iman Rahimi; Amir H. Gandomi; Fang Chen; Efrén Mezura‐Montes,Archives of Computational Methods in Engineering,105,Defense_Security
Half a century of rising extinction risk of coral reef sharks and rays,James Cook University,2023-01-17,C. Samantha Sherman; Colin A. Simpfendorfer; Nathan Pacoureau; Jay H. Matsushiba; Helen F. Yan,Nature Communications,103,Defense_Security
Determinants of life expectancy in most polluted countries: Exploring the effect of environmental degradation,University of Southern Queensland,2022-01-21,Mohammad Mafizur Rahman; Rezwanul Hasan Rana; Rasheda Khanam,PLoS ONE,100,Defense_Security
"European fitness landscape for children and adolescents: updated reference values, fitness maps and country rankings based on nearly 8 million test results from 34 countries gathered by the FitBack network",University of South Australia,2023-01-09,Francisco B. Ortega; Bojan Leskošek; Rok Blagus; José J. Gil‐Cosano; Jarek Mäestu,British Journal of Sports Medicine,99,Defense_Security
COVID-19 vaccine hesitancy among pregnant women: a systematic review and meta-analysis,Monash University,2022-08-01,Oashe Bhattacharya; Bodrun Naher Siddiquea; Aishwarya Shetty; Afroza Akhter; Baki Billah,BMJ Open,95,Defense_Security
A New Census of the 0.2 &lt; z &lt; 3.0 Universe. II. The Star-forming Sequence,Australian National University,2022-09-01,Joel Leja; Joshua S. Speagle; Yuan-Sen Ting; Benjamin D. Johnson; Charlie Conroy,The Astrophysical Journal,94,Defense_Security
Successional theories,James Cook University,2023-07-16,Lourens Poorter; Lucy Amissah; Frans Bongers; Iris Hordijk; Jazz Kok,Biological reviews/Biological reviews of the Cambridge Philosophical Society,93,Defense_Security
Cardiorespiratory fitness is a strong and consistent predictor of morbidity and mortality among adults: an overview of meta-analyses representing over 20.9 million observations from 199 unique cohort studies,University of Tasmania,2024-04-09,Justin J. Lang; Stéphanie A. Prince; Katherine Merucci; Cristina Cadenas‐Sánchez; Jean‐Philippe Chaput,British Journal of Sports Medicine,89,Defense_Security
"The Theoretical, Practical, and Technological Foundations of the 15-Minute City Model: Proximity and Its Environmental, Social and Economic Benefits for Sustainability",Deakin University,2022-08-20,Zaheer Allam; Simon Elias Bibri; Didier Chabaud; Carlos Moreno,Energies,85,Defense_Security
Grambank reveals the importance of genealogical constraints on linguistic diversity and highlights the impact of language loss,Australian National University,2023-04-19,Hedvig Skirgård; Hannah J. Haynie; Damián E. Blasí; Harald Hammarström; Jeremy Collins,Science Advances,85,Defense_Security
Prevalence of intimate partner violence against infertile women in low-income and middle-income countries: a systematic review and meta-analysis,La Trobe University,2022-05-10,Yuanyuan Wang; Yu Fu; Parastou Ghazi; Qin Gao; Tian Tian,The Lancet Global Health,83,Defense_Security
The prevalence of hip osteoarthritis: a systematic review and meta-analysis,University of Technology Sydney,2023-03-29,Zijuan Fan; Lei Yan; Haifeng Liu; Xiaoke Li; Kenan Fan,Arthritis Research & Therapy,82,Defense_Security
Energy Security and Energy Poverty in Emerging Economies: A Step Towards Sustainable Energy Efficiency,University of Tasmania,2022-03-30,Muhammad Nasir; Jun Wen; Abdelmohsen A. Nassani; Mohamed Haffar; Amechi Endurance Igharo,Frontiers in Energy Research,81,Defense_Security
Denser and greener cities: Green interventions to achieve both urban density and nature,Victoria University of Wellington,2023-01-11,Robert I. McDonald; Myla F. J. Aronson; Timothy Beatley; Erin E. Beller; Micaela Bazo,People and Nature,76,Defense_Security
"Locally led adaptation: Promise, pitfalls, and possibilities",Griffith University,2023-06-07,M. Feisal Rahman; Danielle Falzon; Stacy‐ann Robinson; Laura Kuhl; Ross Westoby,AMBIO,71,Defense_Security
A thousand-genome panel retraces the global spread and adaptation of a major fungal crop pathogen,Australian National University,2023-02-24,Alice Feurtey; Cécile Lorrain; Megan C. McDonald; Andrew Milgate; Peter S. Solomon,Nature Communications,64,Defense_Security
Marine turtle regional management units 2.0: an updated framework for conservation and research of wide-ranging megafauna species,Griffith University,2023-04-13,BP Wallace; ZA Posnik; BJ Hurley; AD DiMatteo; AN Bandimere,Endangered Species Research,64,Defense_Security
JWST UNCOVER: Extremely Red and Compact Object at z <sub>phot</sub> ≃ 7.6 Triply Imaged by A2744,Swinburne University of Technology,2023-07-25,Lukas J. Furtak; Adi Zitrin; Adèle Plat; Seiji Fujimoto; Bingjie Wang,The Astrophysical Journal,63,Defense_Security
Velocity pausing particle swarm optimization: a novel variant for global optimization,Torrens University Australia,2023-01-07,Tareq M. Shami; Seyedali Mirjalili; Yasser Al-Eryani; Khadija Daoudi; Saadat Izadi,Neural Computing and Applications,62,Defense_Security
Squid Game Optimizer (SGO): a novel metaheuristic algorithm,Monash University,2023-04-01,Mahdi Azizi; Milad Baghalzadeh Shishehgarkhaneh; Mahla Basiri; Robert Moehler,Scientific Reports,56,Defense_Security
Prevalence and factors associated with anemia in women of reproductive age across low- and middle-income countries based on national data,La Trobe University,2023-11-20,Adugnaw Zeleke Alem; Ferry Efendi; Lisa McKenna; Eva Belingon Felipe‐Dimog; Dagmawi Chilot,Scientific Reports,55,Defense_Security
"Cannabis legalization and cannabis use, daily cannabis use and cannabis-related problems among adults in Ontario, Canada (2001–2019)",Deakin University,2023-01-06,Sameer Imtiaz; Yeshambel T. Nigatu; Farihah Ali; Laura Douglas; Hayley A. Hamilton,Drug and Alcohol Dependence,54,Defense_Security
Ensemble machine learning-based recommendation system for effective prediction of suitable agricultural crop cultivation,Deakin University,2023-08-10,Mahmudul Hasan; Md. Abu Marjan; Md Palash Uddin; Masud Ibn Afjal; Seifedine Kardy,Frontiers in Plant Science,54,Defense_Security
"Board demographic, structural diversity, and eco‐innovation: International evidence",Edith Cowan University,2023-06-06,Rashid Zaman; Kaveh Asiaei; Muhammad Nadeem; Ihtisham Malik; Muhammad Arif,Corporate Governance An International Review,53,Defense_Security
Burden of Ischemic and Hemorrhagic Stroke Across the US From 1990 to 2019,Auckland University of Technology,2024-03-04,Daniela Renedo; Julián Acosta; Audrey C. Leasure; Richa Sharma; Harlan M. Krumholz,JAMA Neurology,49,Defense_Security
Human dispersal and plant processing in the Pacific 55 000–50 000 years ago,University of Otago,2024-08-01,Dylan Gaffney; Daud Aris Tanudirjo; Erlin Novita Idje Djami; Zubair Mas’ud; Abdul Razak Macap,Antiquity,48,Defense_Security
"Population structure and migration in the Eastern Highlands of Papua New Guinea, a region impacted by the kuru epidemic",Curtin University,2024-03-19,Liam Quinn; Jerome Whitfield; Michael P. Alpers; Tracy Campbell; Holger Hummerich,The American Journal of Human Genetics,39,Defense_Security
"Quantifying the Effects of Known Unknowns on Inferred High-redshift Galaxy Properties: Burstiness, IMF, and Nebular Physics",Swinburne University of Technology,2024-02-29,Bingjie Wang; Joel Leja; Hakim Atek; Ivo Labbé; Yijia Li,The Astrophysical Journal,35,Defense_Security
Bellwethers of change: population modelling of North Pacific humpback whales from 2002 through 2021 reveals shift from recovery to climate response,Southern Cross University,2024-02-01,Ted Cheeseman; Jay Barlow; Jo Marie Acebes; Katherina Audley; Lars Bejder,Royal Society Open Science,30,Defense_Security
Frailty increases the long-term risk for fall and fracture-related hospitalizations and all-cause mortality in community-dwelling older women,Torrens University Australia,2024-01-02,Elsa Dent; Jack Dalla Via; Trent Bozanich; Emiel O. Hoogendijk; Abadi Kahsu Gebre,Journal of Bone and Mineral Research,28,Defense_Security
Marine protected areas promote stability of reef fish communities under climate warming,University of Tasmania,2024-02-28,Lisandro Benedetti‐Cecchi; Amanda E. Bates; Giovanni Strona; Fabio Bulleri; Bárbara Horta e Costa,Nature Communications,28,Defense_Security
"Prevalence and risk factors for long COVID among adults in Scotland using electronic health records: a national, retrospective, observational cohort study",Victoria University of Wellington,2024-04-11,Karen Jeffrey; Lana Woolford; Rishma Maini; Siddharth Basetti; Ashleigh Batchelor,EClinicalMedicine,27,Defense_Security
Prevalence and Socio-Demographic Predictors of Food Insecurity in Australia during the COVID-19 Pandemic,University of Tasmania,2020-09-02,Katherine Kent; Sandra Murray; Beth Penrose; Srj Auckland; Denis Visentin,Nutrients,148,Defense_Security
"The relationship between problem gambling, excessive gaming, psychological distress and spending on loot boxes in Aotearoa New Zealand, Australia, and the United States—A cross-national survey",University of Tasmania,2020-03-23,Aaron Drummond; James D. Sauer; Christopher J. Ferguson; Lauren C. Hall,PLoS ONE,136,Defense_Security
Food choice in the e-commerce era,University of Waikato,2020-02-22,Ou Wang; Simon Somogyi; Sylvain Charlebois,British Food Journal,127,Defense_Security
The Arithmetic Optimization Algorithm,Torrens University Australia,2021-01-13,Laith Abualigah; Ali Diabat; Seyedali Mirjalili; Mohamed Abd Elaziz; Amir H. Gandomi,Computer Methods in Applied Mechanics and Engineering,2437,Autonomous_Systems
How can airborne transmission of COVID-19 indoors be minimised?,Queensland University of Technology,2020-05-27,Lídia Morawska; Julian W. Tang; William P. Bahnfleth; Philomena M. Bluyssen; Atze Boerstra,Environment International,1296,Autonomous_Systems
Review and analysis of current responses to COVID-19 in Indonesia: Period of January to March 2020,Charles Darwin University,2020-04-01,Riyanti Djalante; Jonatan Lassa; Davin H. E. Setiamarga; Aruminingsih Sudjatma; Mochamad Indrawan,Progress in Disaster Science,1210,Autonomous_Systems
Impact of COVID-19 pandemic on utilisation of healthcare services: a systematic review,Bond University,2021-03-01,Ray Moynihan; Sharon Sanders; Zoe A Michaleff; Anna Mae Scott; Justin Clark,BMJ Open,1161,Autonomous_Systems
"Ultra‐processed foods and the nutrition transition: Global, regional and national trends, food systems transformations and political economy drivers",Deakin University,2020-08-06,Phillip Baker; Priscila Machado; Thiago M. Santos; Katherine Sievert; Kathryn Backholer,Obesity Reviews,862,Autonomous_Systems
Federated Learning for Smart Healthcare: A Survey,Deakin University,2022-02-03,Dinh C. Nguyen; Quoc‐Viet Pham; Pubudu N. Pathirana; Ming Ding; Aruna Seneviratne,ACM Computing Surveys,473,Autonomous_Systems
Social media for rapid knowledge dissemination: early experience from the<scp>COVID</scp>‐19 pandemic,Monash University,2020-03-30,Albert Kam Ming Chan; Christopher P Nickson; Jenny W. Rudolph; Anna Lee; Gavin M. Joynt,Anaesthesia,456,Autonomous_Systems
UK clinical guideline for the prevention and treatment of osteoporosis,Australian Catholic University,2022-04-04,Celia L. Gregson; David Armstrong; Jean Bowden; Cyrus Cooper; John Edwards,Archives of Osteoporosis,453,Autonomous_Systems
The “war over tourism”: challenges to sustainable tourism in the tourism academy after COVID-19,University of South Australia,2020-08-06,Freya Higgins‐Desbiolles,Journal of Sustainable Tourism,399,Autonomous_Systems
"Water Security in a Changing Environment: Concept, Challenges and Solutions",Australian National University,2021-02-14,Binaya Kumar Mishra; Pankaj Kumar; Chitresh Saraswat; Shamik Chakraborty; Arjun Gautam,Water,380,Autonomous_Systems
The Internet of Things: Impact and Implications for Health Care Delivery,Griffith University,2020-09-16,Jaimon T. Kelly; Katrina L. Campbell; Enying Gong; Paul Scuffham,Journal of Medical Internet Research,377,Autonomous_Systems
Role of organic farming for achieving sustainability in agriculture,Central Queensland University,2023-03-28,Ashoka Gamage; Ruchira Gangahagedara; Jeewan Gamage; Nepali Jayasinghe; Nathasha Kodikara,Farming System,374,Autonomous_Systems
"A systematic literature review of artificial intelligence in the healthcare sector: Benefits, challenges, methodologies, and functionalities",University of Southern Queensland,2023-01-01,Omar Ali; Wiem Abdelbaki; Anup Shrestha; Ersin Elbaşi; Mohammad Abdallah Ali Alryalat,Journal of Innovation & Knowledge,354,Autonomous_Systems
The Blue Economy and the United Nations’ sustainable development goals: Challenges and opportunities,Griffith University,2020-01-31,Ki‐Hoon Lee; Junsung Noh; Jong Seong Khim,Environment International,337,Autonomous_Systems
Global 1 km × 1 km gridded revised real gross domestic product and electricity consumption during 1992–2019 based on calibrated nighttime light data,Curtin University,2022-05-12,Jiandong Chen; Ming Gao; Shulei Cheng; Wenxuan Hou; Malin Song,Scientific Data,333,Autonomous_Systems
Effects of Internet-Based Cognitive Behavioral Therapy in Routine Care for Adults in Treatment for Depression and Anxiety: Systematic Review and Meta-Analysis,Macquarie University,2020-08-31,Anne Etzelmueller; Christiaan Vis; Eirini Karyotaki; Harald Baumeister; Nickolai Titov,Journal of Medical Internet Research,311,Autonomous_Systems
The worldwide impact of telemedicine during COVID-19: current evidence and recommendations for the future,Flinders University,2022-01-01,Stefano Omboni; Raj Padwal; Tourkiah Alessa; Béla Benczúr; Beverly B. Green,Connected Health,307,Autonomous_Systems
"Covid-19 and Women’s Triple Burden: Vignettes from Sri Lanka, Malaysia, Vietnam and Australia",Flinders University,2020-05-21,Helen McLaren; Karen Rosalind Wong; Kieu Nga Nguyen; Komalee Nadeeka Damayanthi Mahamadachchi,Social Sciences,298,Autonomous_Systems
Engage for Equity: A Long-Term Study of Community-Based Participatory Research and Community-Engaged Research Practices and Outcomes,University of Waikato,2020-05-21,Nina Wallerstein; John Oetzel; Shannon Sanchez‐Youngman; Blake Boursaw; Elizabeth Dickson,Health Education & Behavior,295,Autonomous_Systems
The potential for COVID‐19 to contribute to compassion fatigue in critical care nurses,University of New England,2020-04-28,Jalal Alharbi; Debra Jackson; Kim Usher,Journal of Clinical Nursing,290,Autonomous_Systems
"Artificial intelligence and fintech: An overview of opportunities and risks for banking, investments, and microfinance",Torrens University Australia,2021-05-01,Arvind Ashta; Heinz Herrmann,Strategic Change,281,Autonomous_Systems
Wearable Biosensors: An Alternative and Practical Approach in Healthcare and Disease Monitoring,Monash University,2021-02-01,Atul Sharma; Mihaela Badea; Swapnil Tiwari; Jean‐Louis Marty,Molecules,278,Autonomous_Systems
Human Capital 4.0: a workforce competence typology for Industry 4.0,University of Auckland,2020-04-07,Emmanuel Flores; Xun Xu; Yuqian Lu,Journal of Manufacturing Technology Management,257,Autonomous_Systems
Potential lessons from the Taiwan and New Zealand health responses to the COVID-19 pandemic,University of Otago,2020-10-21,Jennifer Summers; Hao‐Yuan Cheng; Hsien-Ho Lin; Lucy Telfar-Barnard; Amanda Kvalsvig,The Lancet Regional Health - Western Pacific,255,Autonomous_Systems
Augmented reality in medical education: students’ experiences and learning outcomes,Deakin University,2021-01-01,Poshmaal Dhar; Tetyana Rocks; Rasika M. Samarasinghe; Garth Stephenson; Craig M. Smith,Medical Education Online,240,Autonomous_Systems
The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,Monash University,2021-03-29,Matthew J. Page; Joanne E. McKenzie; Patrick M. Bossuyt; Isabelle Boutron; Tammy Hoffmann,BMJ,59079,Cybersecurity
The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,Monash University,2021-03-29,Matthew J. Page; Joanne E. McKenzie; Patrick M. Bossuyt; Isabelle Boutron; Tammy Hoffmann,Systematic Reviews,11122,Cybersecurity
The PRISMA 2020 statement: An updated guideline for reporting systematic reviews,Monash University,2021-03-28,Matthew J. Page; Joanne E. McKenzie; Patrick M. Bossuyt; Isabelle Boutron; Tammy Hoffmann,International Journal of Surgery,9405,Cybersecurity
World Health Organization 2020 guidelines on physical activity and sedentary behaviour,University of Southern Queensland,2020-11-25,Fiona Bull; Salih S Al-Ansari; Stuart Biddle; Katja Borodulin; Matthew P. Buman,British Journal of Sports Medicine,8010,Cybersecurity
The PRISMA 2020 statement: an updated guideline for reporting systematic reviews,Monash University,2020-09-14,Matthew J. Page; Joanne E. McKenzie; Patrick M. Bossuyt; Isabelle Boutron; Tammy Hoffmann,,4980,Cybersecurity
Updated methodological guidance for the conduct of scoping reviews,University of South Australia,2020-09-22,Micah D.J. Peters; Casey Marnie; Andrea C. Tricco; Danielle Pollock; Zachary Munn,JBI Evidence Synthesis,4295,Cybersecurity
"<i>CrystalExplorer</i>: a program for Hirshfeld surface analysis, visualization and quantitative analysis of molecular crystals",Curtin University,2021-04-27,Peter R. Spackman; Michael J. Turner; Joshua J. McKinnon; Stephen K. Wolff; Daniel J. Grimwood,Journal of Applied Crystallography,3458,Cybersecurity
The PRISMA 2020 statement: An updated guideline for reporting systematic reviews,Monash University,2021-03-29,Matthew J. Page; Joanne E. McKenzie; Patrick M. Bossuyt; Isabelle Boutron; Tammy Hoffmann,Journal of Clinical Epidemiology,3432,Cybersecurity
Synthesis without meta-analysis (SWiM) in systematic reviews: reporting guideline,Monash University,2020-01-16,Mhairi Campbell; Joanne E. McKenzie; Amanda Sowden; Srinivasa Vittal Katikireddi; Sue Brennan,BMJ,2853,Cybersecurity
Defining Training and Performance Caliber: A Participant Classification Framework,Australian Catholic University,2021-12-29,Alannah K. A. McKay; Trent Stellingwerff; Ella S. Smith; David T. Martin; Iñigo Mujika,International Journal of Sports Physiology and Performance,1758,Cybersecurity
COVID-19: 20 countries’ higher education intra-period digital pedagogy responses,University of Tasmania,2020-04-01,Joseph Crawford; Kerryn Butler‐Henderson; Jürgen Rudolph; Bashar H. Malkawi; Matt Glowatz,Journal of Applied Learning & Teaching,1725,Cybersecurity
The Global Macroeconomic Impacts of COVID-19: Seven Scenarios,Australian National University,2020-01-01,Warwick J. McKibbin; Roshen Fernando,SSRN Electronic Journal,1336,Cybersecurity
The Lancet Global Health Commission on Global Eye Health: vision beyond 2020,University of Auckland,2021-02-17,Matthew J. Burton; Jacqueline Ramke; Ana Patrícia Marques; Rupert Bourne; Nathan Congdon,The Lancet Global Health,1105,Cybersecurity
"Pandemics, transformations and tourism: be careful what you wish for",University of Canterbury,2020-04-28,C. Michael Hall; Daniel Scott; Stefan Gößling,Tourism Geographies,1060,Cybersecurity
Software for the frontiers of quantum chemistry: An overview of developments in the Q-Chem 5 package,Australian National University,2021-08-23,Evgeny Epifanovsky; Andrew T. B. Gilbert; Xintian Feng; Joonho Lee; Yuezhi Mao,The Journal of Chemical Physics,1045,Cybersecurity
