openalex_id,title,abstract,date,year,authors,university,journal,citations,doi,theme,concepts,relevance_score
W2606393404,Surgical Robot Competition Introducing Engineering In Medicine To Pre College Students,"Abstract NOTE: The first page of text has been automatically extracted and included below in lieu of an abstract Main Menu Session 2793 Surgical Robot Competition – Introducing Engineering in Medicine to Pre-college Students Oleg Gerovichev, Randal P. Goldberg, Ian D. Donn, Anand Viswanathan, Russell H. Taylor Department of Biomedical Engineering / Department of Mechanical Engineering / Department of Electrical and Computer Engineering/ Department of Computer Science/ Department of Computer Science Johns Hopkins University (Baltimore, Maryland) Abstract Robotics is a multidisciplinary field that holds great potential for hands-on education throughout a student’s school career. However, making technology accessible for learning is challenging due to cost, safety and implementation concerns. This paper describes a method for drawing on current, real life challenges faced by researchers in the field and translating such experiences into a secondary school level program. The concept of the competition, application of LEGO Mindstorms® robotics platform, methods of organization and expansion, past experiences and future plans are presented. Our goal is to show an example of how to integrate off-the-shelf robotic technology with current real-world engineering challenges and to engage students in the fields of engineering, robotics, and medicine in a fun and exciting atmosphere. Introduction and Background Modern medical practice relies on innovation and technology to provide better solutions in the operating room. Doctors, scientists and engineers work together to improve current surgical care by designing tools and machines to overcome human limitations, namely precision, control, reliability, patience and memory. Computers and robots do not have these restrictions. Computers have had such an impact on surgery that many current procedures would be impossible or significantly more difficult without them. Computers aid surgeons by displaying images of internal organs through computed tomography (CT) and magnetic resonance imaging (MRI) or exposing brain function through electroencephalographic analysis. Robots can function as surgical assistants [1] or even substitute for the surgeon on location (e.g. telesurgery). Robotics is a popular tool for science and engineering education on various levels because of its multidisciplinary nature. The development of a successful robot incorporates knowledge from a variety of disciplines such as physics, math, mechanical engineering, materials science, electrical engineering, and computer science as well as a variety of skills gained through practical experience. There is also a need for equipment: raw building materials and shop tools, wires and a soldering iron, a variety of computers and, often, complicated programming interfaces. A complete engineering education is founded on the acquisition of these skills, yet the time and “Proceedings of the 2002 American Society for Engineering Education Annual Conference & Exposition Copyright Ó 2002, American Society for Engineering Education” Main Menu",2020-09-03,2020,Russell H. Taylor; Randal P. Goldberg; Oleg Gerovichev; I.D. Donn; Anand Viswanathan,Johns Hopkins University,,2,https://doi.org/10.18260/1-2--10654,Autonomous_Systems,Robotics; Robot; Competition (biology); Artificial intelligence; Field (mathematics),0.717
W4384129427,Artificial intelligence meets medical robotics,"Artificial intelligence (AI) applications in medical robots are bringing a new era to medicine. Advanced medical robots can perform diagnostic and surgical procedures, aid rehabilitation, and provide symbiotic prosthetics to replace limbs. The technology used in these devices, including computer vision, medical image analysis, haptics, navigation, precise manipulation, and machine learning (ML) , could allow autonomous robots to carry out diagnostic imaging, remote surgery, surgical subtasks, or even entire surgical procedures. Moreover, AI in rehabilitation devices and advanced prosthetics can provide individualized support, as well as improved functionality and mobility (see the figure). The combination of extraordinary advances in robotics, medicine, materials science, and computing could bring safer, more efficient, and more widely available patient care in the future. -Gemma K. Alderton.",2023-07-13,2023,Michael C. Yip; Septimiu E. Salcudean; Ken Goldberg; Kaspar Althoefer; Arianna Menciassi,"University of California, San Diego",Science,109,https://doi.org/10.1126/science.adj3312,Autonomous_Systems,Robotics; Artificial intelligence; Robot; SAFER; Computer science,0.7
W4381613788,Predicting Surgical Experience After Robotic Nerve-sparing Radical Prostatectomy Simulation Using a Machine Learning–based Multimodal Analysis of Objective Performance Metrics,"Machine learning methods have emerged as objective tools to evaluate operative performance in urological procedures. Our objectives were to establish machine learning-based methods for predicting surgeon caseload for nerve-sparing robot-assisted radical prostatectomy using our validated hydrogel-based simulation platform and identify potential metrics of surgical expertise.Video, robotic kinematics, and force sensor data were collected from 35 board-certified urologists at the 2022 AUA conference. Video was annotated for surgical gestures. Objective performance indicators were derived from robotic system kinematic data. Force metrics were calculated from hydrogel model integrated sensors. Data were fitted to 3 supervised machine learning models-logistic regression, support vector machine, and k-nearest neighbors-which were used to predict procedure-specific learning curve proficiency. Recursive feature elimination was used to optimize the best performing model.Logistic regression predicted caseload with the highest AUC score for 5/7 possible data combinations (force, 64%; objective performance indicators + gestures, 94%; objective performance indicators + force, 90%; gestures + force, 93%; objective performance indicators + gestures + force, 94%). Support vector machine predicted the highest AUC score for objective performance indicators (82%) and gestures (94%). Logistic regression with recursive feature elimination was the most effective model reaching 96% AUC in predicting case-specific experience. Most contributory features were identified across all model types.We have created a machine learning-based algorithm utilizing a novel combination of objective performance indicators, gesture analysis, and integrated force metrics to predict surgical experience, capable of discriminating between surgeons with low or high robot-assisted radical prostatectomy caseload with 96% AUC in a standardized, simulation-based environment.",2023-06-22,2023,Nathan Schuler; Lauren Shepard; Aaron Saxton; Jillian Russo; Daniel Johnston,Johns Hopkins University,Urology Practice,9,https://doi.org/10.1097/upj.0000000000000426,Autonomous_Systems,Medicine; Library science; Art history; Computer science; Art,0.567
W3182938540,Automated design of underactuated monolithic soft robotics structures with multiple predefined end poses,"The increasing frequency of robot interactions with humans and complex environments motivates the design and control of soft robotic systems made of compliant structures. Additive manufacturing processes enable the creation of new robotic systems and mechanisms that gain their compliance extrinsically through their design, rather than simply their material. With the ability to rapidly and affordably manufacture such mechanisms, the interest in producing custom task-specific underactuated mechanisms has grown. These mechanisms may be useful for highly repetitive tasks or complex situations where the simplicity of control outweighs the versatility of a more traditional robotic system. In the course of this work, new underactuated monolithic soft robotic mechanisms are presented along with automated design processes. The structures can reach multiple arbitrary end effector poses and are controlled with as few actuators as possible. Two methods for the automated design of such structures via inverse kinematics and two concepts for the mechanical realization are presented. Several functional models were created to illustrate possible application scenarios and validate the mechanical concepts. A novel contact surface was also developed and shown to improve the accuracy performance of these structures. These automated design methods contribute toward the general accessibility and usability of multi-pose underactuated extrinsically soft mechanisms.",2021-05-30,2021,Simon Schiele; Henry Phalen; Julian Kulozik; Yannick S. Krieger; Tim C. Lueth,Technical University of Munich,,3,https://doi.org/10.1109/icra48506.2021.9561485,Autonomous_Systems,Underactuation; Computer science; Actuator; Control engineering; Robot,0.85
W4396875095,One-Piece 3D-Printed Pneumatic Catheter: Dual-Segment Design with Integrated Robotics Control for Endovascular Interventions,"Soft robotics have propelled advancements in medical applications such as endovascular interventions through the development of soft steerable catheters. Despite their potential, existing catheters often require intricate manufacturing or complex control systems due to their inherent hysteresis and nonlinear material properties. This study introduces a novel catheter system featuring a 3D-printed hollow tip with two pneumatic bending units, facilitating rotation about two distinct axes without the need for additional fabrication steps. Finite element analysis simulations were used to optimize the catheter design while minimizing its diameter to 6.4 mm. Furthermore, an external robotic control system was integrated to perform physical experiments to assess the bending capabilities of the catheter tip. After calibration, the system exhibited proficient shape control, achieving a wide bending range from -47° to 169° under the integrated control system, and effectively conforming to 'C', 'S', and 'J' configurations with 0.53 degrees closed-loop accuracy. The catheter prototype demonstrated low hysteresis and high repeatability. The entire catheter system presents a pragmatic and cost-effective approach for the rapid prototyping and development of pneumatic steerable catheters. This novel system is ideally suited for testing preliminary concepts and educational applications in endovascular interventions.",2024-04-14,2024,Shaopeng Jiang; Lingyun Di; N. Barnes; Hannah Qu; Olivia M. Young,Johns Hopkins University,,4,https://doi.org/10.1109/robosoft60065.2024.10521922,Autonomous_Systems,Robotics; Medical robotics; Dual (grammatical number); Psychological intervention; Catheter,0.717
W4210863149,CubeSat Security Attack Tree Analysis,"Once a novelty, small satellites, often referred to as CubeSats, have become important tools for a variety of space activities ranging from exploration to defense. Their relative affordability and short development timeline have made them attractive options to complement larger space vehicles, conduct reconnaissance and other finite tasks. The specialized nature of many CubeSat missions do not make their security any less important as their missions could easily be matters of national security. This paper demonstrates the use of attack tree analysis to assess vulnerabilities of a CubeSat. First, we abstract and build an architectural model of an operational CubeSat. We then create a series of attack trees for the abstracted architecture to illustrate a series of potential attack vectors for small satellites. We conclude by discussing some strategies that could be employed to improve CubeSat resilience.",2021-07-01,2021,Gregory Falco; Arun Viswanathan; Andrew Santangelo,Johns Hopkins University,,27,https://doi.org/10.1109/smc-it51442.2021.00016,Cybersecurity,CubeSat; Computer science; Timeline; Computer security; Resilience (materials science),0.6
W4376606366,Ground Station as a Service Reference Architectures and Cyber Security Attack Tree Analysis,"As the Ground Station as a Service (GSaaS) paradigm transforms space infrastructure operations, new attack surface emerges for malicious actors. While the space community generally refers to GSaaS as a singular model, there are several flavors of these systems. After a description of the general GSaaS network's basic structure, this paper presents an analysis of four reference architectures of GSaaS. On the basis of this systems engineering analysis, a cybersecurity analysis of the critical nodes will be carried out through the attack tree method. Later the cybersecurity implication both of technical and strategic characteristic of GSaaS networks will be discussed and put in relation with the current state of space cyberwarfare landscape.",2023-03-04,2023,Nicolò Boschetti; Chelsea Smethurst; Gregory Epiphaniou; Carsten Maple; Johan Sigholm,Johns Hopkins University,IEEE Aerospace Conference,2,https://doi.org/10.1109/aero55745.2023.10115903,Cybersecurity,Computer security; Computer science; Service (business); Relation (database); Space (punctuation),0.867
W4320802206,Cybersecurity as a Tic-Tac-Toe Game Using Autonomous Forwards (Attacking) And Backwards (Defending) Penetration Testing in a Cyber Adversarial Artificial Intelligence System,"In this paper, we investigate the potential behavior of Artificial Intelligence (AI) black hat hackers and the ability of ethical human hackers to defend against them. To this end, we develop an adversarial AI testbed, which marries game board play to the cyber realm by employing a statistical AI algorithm that maps every move made on the tic-tac-toe game board to an attack or defensive move made in the cyber realm. Our work demonstrates that this approach is an effective means of constraining the possible cybersecurity state space for autonomous forwards (i.e., attacking) and backwards (i.e., defending) penetration testing. Our results suggest that welltrained AI hackers may be nearly impossible to beat by human defenders unless prior knowledge of their possible attack strategies are known; however, for humans, this approach quickly becomes intractable. Also, we have observed that different AI algorithms used to search (play) the game state space (and thus the cyber state space) behave as different AI hacker personalities, which illustrates how forwards and backwards penetration testers with varying skills and knowledge would exploit or defend network vulnerabilities.",2022-10-19,2022,Samra Kasim; Nawal Valliani; Nelson Ka Ki Wong; Shahin Samadi; Lanier Watkins,Johns Hopkins University,,1,https://doi.org/10.1109/icosnikom56551.2022.10034922,Cybersecurity,Hacker; Computer security; Computer science; Adversarial system; Cyber-attack,0.642
W4214898980,Don’t Drink the Cyber: Extrapolating the Possibilities of Oldsmar’s Water Treatment Cyberattack,"Water treatment represents an essential critical infrastructure sector which has a direct impact on the health and well-being of its customers. Water treatment is often performed by municipalities with very limited budgets for cybersecurity resources. These underfunded, high-impact, targets represent an emerging cyber warfare attack-surface paradigm which poses a direct threat to the quality of life for millions of people. On February 5th, 2021, a water treatment plant in Oldsmar, Florida was the victim of an attempted cyberattack. This attack commanded the system to add a dangerous amount ofsodium hydroxide to water which supplied thousands. Direct exposure to sodium hydroxide causes painful burns to the exposed area with permanent internal damage likely upon ingestion. A system operator noticed this malicious behaviour and corrected the situation, minimizing the attack’s impact. This paper outlines the attack and illustrates how minor modifications to the attacker’s tactics, techniques, and procedures could have resulted in a cyber-derived catastrophe for thousands of unsuspecting citizens. Lastly, this paper explores the effectiveness of various low-cost cyber-physical security technologies when pitted against differing attacker models in these theoretical scenarios. These cybersecurity solutions are evaluated by cost, ease of use, implementation difficulty, and ability to support safe operation continuity when faced with adversary behaviour. The results of this evaluation illuminate a path forward for low-cost threat mitigation which increases the difficulty to compromise these critical cyber-physical systems. With attacks targeting industrial control systems on the rise, the Oldsmar water treatment cyberattack represents more than an individual incident, it can be viewed as a reflection of the current status of thousands of similar critical infrastructure systems that have yet to be caught in crosshairs of a competent and willing adversary with financial incentives and cyber warfare mission requirements serving as impetus for adversary willingness and any resulting large-scale cyber cataclysm.",2022-03-02,2022,James Cervini; Aviel D. Rubin; Lanier Watkins,Johns Hopkins University,International Conference on Cyber Warfare and Security,22,https://doi.org/10.34190/iccws.17.1.29,Cybersecurity,Computer security; Adversary; Critical infrastructure; Computer science; Cyber-attack,0.792
W3093070413,Adversarial Metric Attack and Defense for Person Re-Identification,"Person re-identification (re-ID) has attracted much attention recently due to its great importance in video surveillance. In general, distance metrics used to identify two person images are expected to be robust under various appearance changes. However, our work observes the extreme vulnerability of existing distance metrics to adversarial examples, generated by simply adding human-imperceptible perturbations to person images. Hence, the security danger is dramatically increased when deploying commercial re-ID systems in video surveillance. Although adversarial examples have been extensively applied for classification analysis, it is rarely studied in metric analysis like person re-identification. The most likely reason is the natural gap between the training and testing of re-ID networks, that is, the predictions of a re-ID network cannot be directly used during testing without an effective metric. In this work, we bridge the gap by proposing Adversarial Metric Attack, a parallel methodology to adversarial classification attacks. Comprehensive experiments clearly reveal the adversarial effects in re-ID systems. Meanwhile, we also present an early attempt of training a metric-preserving network, thereby defending the metric against adversarial attacks. At last, by benchmarking various adversarial settings, we expect that our work can facilitate the development of adversarial attack and defense in metric-based applications.",2020-10-16,2020,Song Bai; Yingwei Li; Yuyin Zhou; Qizhu Li; Philip H. S. Torr,University of Oxford,IEEE Transactions on Pattern Analysis and Machine Intelligence,54,https://doi.org/10.1109/tpami.2020.3031625,Cybersecurity,Adversarial system; Metric (unit); Computer science; Identification (biology); Artificial intelligence,0.658
W4226232092,Segment and Complete: Defending Object Detectors against Adversarial Patch Attacks with Robust Patch Detection,"Object detection plays a key role in many security-critical systems. Adversarial patch attacks, which are easy to implement in the physical world, pose a serious threat to state-of-the-art object detectors. Developing reliable defenses for object detectors against patch attacks is critical but severely understudied. In this paper, we propose Segment and Complete defense (SAC), a general framework for defending object detectors against patch attacks through detection and removal of adversarial patches. We first train a patch segmenter that outputs patch masks which provide pixel-level localization of adversarial patches. We then propose a self adversarial training algorithm to robustify the patch segmenter. In addition, we design a robust shape completion algorithm, which is guaranteed to remove the entire patch from the images if the outputs of the patch segmenter are within a certain Hamming distance of the ground-truth patch masks. Our experiments on COCO and xView datasets demonstrate that SAC achieves superior robustness even under strong adaptive attacks with no reduction in performance on clean images, and generalizes well to unseen patch shapes, attack budgets, and unseen attack methods. Furthermore, we present the APRICOT-Mask dataset, which augments the APRICOT dataset with pixel-level annotations of adversarial patches. We show SAC can significantly reduce the targeted attack success rate of physical patch attacks. Our code is available at https://github.com/joellliu/SegmentAndComplete.",2022-06-01,2022,Jiang Liu; Alexander Levine; Chun Pong Lau; Rama Chellappa; Soheil Feizi,Johns Hopkins University,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),60,https://doi.org/10.1109/cvpr52688.2022.01455,Cybersecurity,Computer science; Adversarial system; Robustness (evolution); Artificial intelligence; Object detection,0.733
W3205548033,Encryption is Futile: Reconstructing 3D-Printed Models Using the Power Side-Channel,"Outsourced Additive Manufacturing (AM) exposes sensitive design data to external malicious actors. Even with end-to-end encryption between the design owner and 3D-printer, side-channel attacks can be used to bypass cyber-security measures and obtain the underlying design. In this paper, we develop a method based on the power side-channel that enables accurate design reconstruction in the face of full encryption measures without any prior knowledge of the design. Our evaluation on a Fused Deposition Modeling (FDM) 3D Printer has shown 99 % accuracy in reconstruction, a significant improvement on the state of the art. This approach demonstrates the futility of pure cyber-security measures applied to Additive Manufacturing.",2021-10-06,2021,Jacob Gatlin; Sofia Belikovetsky; Yuval Elovici; Anthony Skjellum; Joshua Lubell,Auburn University,,18,https://doi.org/10.1145/3471621.3471850,Cybersecurity,Side channel attack; Encryption; Computer science; 3d printed; Fused deposition modeling,0.508
W3003625852,Unclonable photonic keys hardened against machine learning attacks,"The hallmark of the information age is the ease with which information is stored, accessed, and shared throughout the globe. This is enabled, in large part, by the simplicity of duplicating digital information without error. Unfortunately, an ever-growing consequence is the global threat to security and privacy enabled by our digital reliance. Specifically, modern secure communications and authentication suffer from formidable threats arising from the potential for copying of secret keys stored in digital media. With relatively little transfer of information, an attacker can impersonate a legitimate user, publish malicious software that is automatically accepted as safe by millions of computers, or eavesdrop on countless digital exchanges. To address this vulnerability, a new class of cryptographic devices known as physical unclonable functions (PUFs) are being developed. PUFs are modern realizations of an ancient concept, the physical key, and offer an attractive alternative for digital key storage. A user derives a digital key from the PUF’s physical behavior, which is sensitive to physical idiosyncrasies that are beyond fabrication tolerances. Thus, unlike conventional physical keys, a PUF cannot be duplicated and only the holder can extract the digital key. However, emerging machine learning (ML) methods are remarkably adept at learning behavior via training, and if such algorithms can learn to emulate a PUF, then the security is compromised. Unfortunately, such attacks are highly successful against conventional electronic PUFs. Here, we investigate ML attacks against a nonlinear silicon photonic PUF, a novel design that leverages nonlinear optical interactions in chaotic silicon microcavities. First, we investigate these devices’ resistance to cloning during fabrication and demonstrate their use as a source of large volumes of cryptographic key material. Next, we demonstrate that silicon photonic PUFs exhibit resistance to state-of-the-art ML attacks due to their nonlinearity and finally validate this resistance in an encryption scenario.",2020-01-01,2020,Bryan T. Bosworth; Iskandar Atakhodjaev; Michael R. Kossey; Brian C. Grubel; Daniel S. Vresilovic,Johns Hopkins University,APL Photonics,23,https://doi.org/10.1063/1.5100178,Cybersecurity,Computer science; Cryptography; Computer security; Key (lock); Authentication (law),0.775
W3212636545,Confronting Cyber Risk,"Abstract Confronting Cyber Risk: An Embedded Endurance Strategy for Cybersecurity is a practical leadership handbook defining a new strategy for improving cybersecurity and mitigating cyber risk. Written by two leading experts with extensive professional experience in cybersecurity, the book provides CEOs and cyber newcomers alike with novel, concrete guidance on how to implement a cutting-edge strategy to mitigate an organization’s overall risk to malicious cyberattacks. Using short, real-world case studies, the book highlights the need to address attack prevention and the resilience of each digital asset while also accounting for an incident’s potential impact on overall operations. In a world of hackers, artificial intelligence, and persistent ransomware attacks, the Embedded Endurance strategy embraces the reality of interdependent digital assets and provides an approach that addresses cyber risk at both the micro level (people, networks, systems and data) and the macro level (the organization). Most books about cybersecurity focus entirely on technology; the Embedded Endurance strategy recognizes the need for sophisticated thinking about hardware and software while also extending beyond to address operational, reputational and litigation risk. This book both provides the reader with a solid grounding in important prevention-focused technologies—such as cloud-based security and intrusion detection—and emphasizes the important role of incident response. By implementing an Embedded Endurance strategy, you can guide your team to blunt major cyber incidents with preventative and resilience measures engaged systematically across your organization.",2021-11-17,2021,Gregory Falco; Eric Rosenbach,Johns Hopkins University,Oxford University Press eBooks,10,https://doi.org/10.1093/oso/9780197526545.001.0001,Cybersecurity,Computer science,0.867
W4220770436,Application of machine learning in intelligent encryption for digital information of real-time image text under big data,"Abstract In the context of big data, the exploration of the application effect of machine learning in intelligent encryption for real-time image text digital information aims to improve the privacy information security of people. Aiming at the problem of digital information leakage of real-time image text, the convolutional neural network is introduced and improved by adding a preprocessing module to form AlexNet, to encrypt the digital information of real-time image text. Besides, to take into account both the security effect and the real-time performance of the system, the image text is encrypted by the chaotic sequence generated by a one-dimensional chaotic system called Logistic-Sine and a multi-dimensional chaotic system named Lorenz. In this way, a real-time image text encryption model is constructed by combining the chaotic function and AlexNet. Finally, a simulation experiment is performed to analyze the performance of this model. The comparative analysis indicates that the recognition accuracy of feature extraction of image text by the intelligent encryption model reaches 94.37%, which is at least 3.05% higher than that of other neural network models by scholars in related fields. In the security analysis of image text encryption, the information entropy of pixel values at (0, 0) of the proposed model is close to the ideal value 8. Meanwhile, the value of the number of pixels change rate is generally more than 99.50%, and the value of the unified average changing intensity is generally more than 33.50%. This demonstrates that the model has good security in resisting attacks. Therefore, the constructed model can provide good security guarantee under the premise of ensuring the recognition accuracy, which can provide experimental basis for improving the security performance of real-time image text data in the future.",2022-03-21,2022,Liang Liu; Melody Gao; Yong Zhang; Yu-Xiang Wang,Inner Mongolia University of Science and Technology,EURASIP Journal on Wireless Communications and Networking,18,https://doi.org/10.1186/s13638-022-02111-9,Cybersecurity,Computer science; Encryption; Artificial intelligence; Chaotic; Pixel,0.792
W3106970112,Identification of Botnet Activity in IoT Network Traffic Using Machine Learning,"Today our world benefits from Internet of Things (IoT) technology; however, new security problems arise when these IoT devices are introduced into our homes. Because many of these IoT devices have access to the Internet and they have little to no security, they make our smart homes highly vulnerable to compromise. Some of the threats include IoT botnets and generic confidentiality, integrity, and availability (CIA) attacks. Our research explores botnet detection by experimenting with supervised machine learning and deep-learning classifiers. Further, our approach assesses classifier performance on unbalanced datasets that contain benign data, mixed in with small amounts of malicious data. We demonstrate that the classifiers can separate malicious activity from benign activity within a small IoT network dataset. The classifiers can also separate malicious activity from benign activity in increasingly larger datasets. Our experiments have demonstrated incremental improvement in results for (1) accuracy, (2) probability of detection, and (3) probability of false alarm. The best performance results include 99.9% accuracy, 99.8% probability of detection, and 0% probability of false alarm. This paper also demonstrates how the performance of these classifiers increases, as IoT training datasets become larger and larger.",2020-10-19,2020,Mandira Hegde; Gilles Kepnang; Mashail Al Mazroei; Jeffrey S. Chavis; Lanier Watkins,Johns Hopkins University,,27,https://doi.org/10.1109/idsta50958.2020.9264143,Cybersecurity,Botnet; Computer science; Internet of Things; Machine learning; Classifier (UML),0.508
W4312386644,Cybersecurity Challenges in Smart Cities: An Overview and Future Prospects,"Today, most governments in the world are considering establishing smart cities that work through the use of the latest technological means. Where smart cities are considered economically, socially and environmentally sustainable cities as they have the ability to develop sustainable development, increase the quality of life of citizens, increase the efficiency of available resources and active citizen participation with confidence and quickly. Nations are looking forward to creating a more profitable future for them by employing a set of main things, which are the economy, citizens, government, mobility, environment, and health. Smart cities are one of the main pillars that promote economic development in these nations. Smart cities have appeared in Japan, the UAE and Germany, where these cities constitute an excellent future environment in which they can live and are more suitable than ordinary cities. In this report, the most critical challenges that cybersecurity faces in preserving smart cities from hacking operations will be reviewed in general. This report concluded that there is a relationship between cybersecurity and smart cities, as such cities cannot be established without providing an appropriate electronic and physical security environment to protect these cities from attack and penetration by unauthorised or unknown individuals.",2022-01-25,2022,Maad M. Mijwil; Ruchi Doshi; Kamal Kant Hiran; Abdel‐Hameed Al‐Mistarehi; Murat Gök,Baghdad College of Economic Sciences University,Deleted Journal,37,https://doi.org/10.58496/mjcs/2022/001,Cybersecurity,Business; Smart city; Government (linguistics); Work (physics); Hacker,0.508
W4306316898,Developing Scenarios Supporting Space-based IDS,"Satellites are essential to critical and commercial infrastructure used by governments, militaries, and industries worldwide. Satellites are prime targets for malicious cyber actors thanks to their relatively minimal defenses, the significance of their compromise, and their low barrier to entry. Due to technical limitations, satellite operators are hindered in their ability to quickly detect and respond to the presence of a cyber threat. Intrusion detection systems have demonstrated value in critical infrastructure, allowing operators to detect and prevent cyberattacks on their systems. The lack of cybersecurity resources that provide insight into adversarial attack patterns challenges the development of an intrusion detection system onboard a satellite. To overcome the lack of cybersecurity resources, we approach intrusion detection systems for satellites through the lens of penetration testing. This work begins by following the penetration testing process on a notional cube satellite to generate attack scenarios that can disrupt the satellite’s operations. We then compare the satellite attack scenarios with similar terrestrial-based attack patterns found in the MITRE ATT&CK framework and the common attack pattern enumeration and classification catalog. Through this comparison, satellite components that require malicious activity monitoring are identified and used as a medium for discussing a host-based and network-based intrusion detection system onboard a satellite. This paper concludes with the limitations of intrusion detection systems in a space-based environment.",2022-10-15,2022,John P. Thebarge; Wayne Henry; Gregory Falco,,ASCEND 2022,5,https://doi.org/10.2514/6.2022-4219,Cybersecurity,Computer science; Intrusion detection system; Computer security; Satellite; Adversarial system,0.925
W3095256694,"When Satellites Attack: Satellite-to-Satellite Cyber Attack, Defense and Resilience","The United States is increasingly reliant on space systems for civil and military operations. Therefore, it is no surprise that adversaries are interested in compromising these systems via cyber attack. This paper describes a new class of satellite-to-satellite cyber attacks. While such attacks were previously limited to a select group of nation-states, low-cost cubesats and ground station cloud services make these attacks increasingly feasible and accessible to adversaries. There are no publicly documented instances of satellite-to-satellite cyber attacks occurring at the time of publication, but the technical feasibility is described herein along with proposed defense and resilience techniques. Policy recommendations to help manage the risk of satellite-to-satellite attacks are also discussed.",2020-11-02,2020,Gregory Falco,Johns Hopkins University,ASCEND 2022,35,https://doi.org/10.2514/6.2020-4014,Cybersecurity,Satellite; Resilience (materials science); Computer security; Computer science; Communications satellite,0.508
W4391021696,Clustering Unsupervised Representations as Defense Against Poisoning Attacks on Speech Commands Classification System,"Poisoning attacks entail attackers intentionally tampering with training data. In this paper, we consider a dirty-label poisoning attack scenario on a speech commands classification system. The threat model assumes that certain utterances from one of the classes (source class) are poisoned by superimposing a trigger on it, and its label is changed to another class selected by the attacker (target class). We propose a filtering defense against such an attack. First, we use DIstillation with NO labels (DINO) to learn unsupervised representations for all the training examples. Next, we use K-means and LDA to cluster these representations. Finally, we keep the utterances with the most repeated label in their cluster for training and discard the rest. For a 10% poisoned source class, we demonstrate a drop in attack success rate from 99.75% to 0.25%. We test our defense against a variety of threat models, including different target and source classes, as well as trigger variations.",2023-12-16,2023,Thomas Thebaud; Sonal Joshi; Henry Li; Martin Sustek; Jesús Villalba,Johns Hopkins University,2021 IEEE Automatic Speech Recognition and Understanding Workshop (ASRU),1,https://doi.org/10.1109/asru57964.2023.10389650,Cybersecurity,Computer science; Cluster analysis; Class (philosophy); Variety (cybernetics); Artificial intelligence,0.508
W3162609778,Autonomous Navigation Assurance with Explainable AI and Security Monitoring,"With the rise of disruptive artificial intelligence (AI) technology, assuring autonomous systems is of the utmost importance. The drive to spread autonomous vehicles to all whether military or the commercial space is makes autonomous navigation a must for assurance. In this paper, we introduce the concept of using explainable AI to assure the operational autonomy of a vehicle while monitoring the security of the system. We demonstrate our paradigm by developing a system monitor using AI (i.e., Random Forest Tree algorithm) to assure the native autonomy of an autonomous Turtlebot3 and monitor security status of the Turtlebot3 computer system and sensor data. Then we dig into the decision trees of the AI algorithm and extract information to help explain the navigation autonomy and decisions made by our monitor. The explainability of the security monitor is not part of this experiment but the security monitor is useful for helping the autonomous navigation make decisions in the instance of attack. Further, we demonstrate the efficacy of the monitor by subjecting the Turtlebot3 to a ""Sharp Turn Maze"", which was designed to be hard to solve by the native autonomy, and a barrage of security attacks. These experiments allow the AI-Monitor to demonstrate its ability to identify and explain unproductive or wrong decisions made by the native autonomy and identify cyber-security related faults in order to trigger navigation contingencies.",2020-10-13,2020,Denzel Hamilton; Kevin Kornegay; Lanier Watkins,Morgan State University,,6,https://doi.org/10.1109/aipr50011.2020.9425292,Cybersecurity,Autonomy; Computer science; Computer security; Autonomous system (mathematics); Order (exchange),0.6
